date,price_usd,price_eur,volume_24h,market_cap
2025-03-12,83722.36000000,,40353484454.00,
2025-03-11,82862.21000000,,54702837196.00,
2025-03-10,78532.00000000,,54061099422.00,
2025-03-09,80601.04000000,,30899345977.00,
2025-03-08,86154.59000000,,18206118081.00,
2025-03-07,86742.67000000,,65945677657.00,
2025-03-06,89961.73000000,,47749810486.00,
2025-03-05,90623.56000000,,50498988027.00,
2025-03-04,87222.20000000,,68095241474.00,
2025-03-03,86065.67000000,,70072228536.00,
2025-03-02,94248.35000000,,58398341092.00,
2025-03-01,86031.91000000,,29190628396.00,
2025-02-28,84373.01000000,,83610570576.00,
2025-02-27,84704.23000000,,52659591954.00,
2025-02-26,84347.02000000,,64597492134.00,
2025-02-25,88736.17000000,,92139104128.00,
2025-02-24,91418.17000000,,44046480529.00,
2025-02-23,96273.92000000,,16999478976.00,
2025-02-22,96577.76000000,,18353824477.00,
2025-02-21,96125.55000000,,49608706470.00,
2025-02-20,98333.94000000,,31668022771.00,
2025-02-19,96635.61000000,,28990872862.00,
2025-02-18,95539.55000000,,37325720482.00,
2025-02-17,95773.38000000,,27336550690.00,
2025-02-16,96175.03000000,,16536755396.00,
2025-02-15,97580.35000000,,17047266288.00,
2025-02-14,97508.97000000,,32697987277.00,
2025-02-13,96623.87000000,,37147280860.00,
2025-02-12,97885.86000000,,49340445530.00,
2025-02-11,95747.43000000,,37488783272.00,
2025-02-10,97437.55000000,,40078962391.00,
2025-02-09,96500.09000000,,27732901800.00,
2025-02-08,96482.45000000,,22447526395.00,
2025-02-07,96529.09000000,,55741290456.00,
2025-02-06,96593.30000000,,45302471947.00,
2025-02-05,96615.45000000,,49125911241.00,
2025-02-04,97871.82000000,,73002130211.00,
2025-02-03,101405.42000000,,115400897748.00,
2025-02-02,97688.98000000,,63091816853.00,
2025-02-01,100655.91000000,,27757944848.00,
2025-01-31,102405.02000000,,45732764360.00,
2025-01-30,104735.30000000,,41915744521.00,
2025-01-29,103703.21000000,,47432049818.00,
2025-01-28,101332.48000000,,47180685494.00,
2025-01-27,102087.69000000,,89006608428.00,
2025-01-26,102682.50000000,,22543395879.00,
2025-01-25,104714.65000000,,23888996502.00,
2025-01-24,104819.48000000,,52388229265.00,
2025-01-23,103960.17000000,,104104515428.00,
2025-01-22,103653.07000000,,53878181052.00,
2025-01-21,106146.27000000,,88733878242.00,
2025-01-20,102016.66000000,,126279678351.00,
2025-01-19,101089.61000000,,76789928525.00,
2025-01-18,104408.07000000,,50445655726.00,
2025-01-17,104462.04000000,,71888972663.00,
2025-01-16,99756.91000000,,54103781805.00,
2025-01-15,100504.49000000,,57805923627.00,
2025-01-14,96534.05000000,,53769675818.00,
2025-01-13,94516.52000000,,72978998252.00,
2025-01-12,94488.44000000,,20885130965.00,
2025-01-11,94566.59000000,,18860894100.00,
2025-01-10,94701.45000000,,62058693684.00,
2025-01-09,92484.04000000,,62777261693.00,
2025-01-08,95043.52000000,,63875859171.00,
2025-01-07,96922.70000000,,58685738547.00,
2025-01-06,102078.09000000,,51823432705.00,
2025-01-05,98314.96000000,,20525254825.00,
2025-01-04,98236.23000000,,22342608078.00,
2025-01-03,98107.43000000,,35611391163.00,
2025-01-02,96886.88000000,,46009564411.00,
2025-01-01,94419.76000000,,24519888919.00,
2024-12-31,93429.20000000,,43625106843.00,
2024-12-30,92643.21000000,,56188003691.00,
2024-12-29,93530.23000000,,29635885267.00,
2024-12-28,95163.93000000,,24107436185.00,
2024-12-27,94164.86000000,,52419934565.00,
2024-12-26,95795.52000000,,47054980873.00,
2024-12-25,99299.20000000,,33700394629.00,
2024-12-24,98676.09000000,,47114953674.00,
2024-12-23,94686.24000000,,65239002919.00,
2024-12-22,95104.94000000,,43147981314.00,
2024-12-21,97224.73000000,,51765334294.00,
2024-12-20,97755.93000000,,105634083408.00,
2024-12-19,97490.95000000,,97221662392.00,
2024-12-18,100041.54000000,,93865656139.00,
2024-12-17,106140.60000000,,68589364868.00,
2024-12-16,106029.72000000,,91020417816.00,
2024-12-15,104298.70000000,,51145914137.00,
2024-12-14,101372.97000000,,40422968793.00,
2024-12-13,101459.26000000,,56894751583.00,
2024-12-12,100043.00000000,,72073983533.00,
2024-12-11,101173.03000000,,85391409936.00,
2024-12-10,96675.43000000,,104823780634.00,
2024-12-09,97432.72000000,,110676473908.00,
2024-12-08,101236.02000000,,44125751925.00,
2024-12-07,99923.34000000,,44177510897.00,
2024-12-06,99920.71000000,,94534772658.00,
2024-12-05,96593.57000000,,149218945580.00,
2024-12-04,98768.53000000,,77199817112.00,
2024-12-03,96002.16000000,,67067810961.00,
2024-12-02,95865.30000000,,72680784305.00,
2024-12-01,97279.79000000,,36590695296.00,
2024-11-30,96449.05000000,,31634227866.00,
2024-11-29,97461.52000000,,54968682476.00,
2024-11-28,95652.47000000,,52260008261.00,
2024-11-27,95962.53000000,,71133452438.00,
2024-11-26,91985.32000000,,91656519855.00,
2024-11-25,93102.30000000,,80909462490.00,
2024-11-24,98013.82000000,,51712020623.00,
2024-11-23,97777.28000000,,44414644677.00,
2024-11-22,98997.66000000,,78473580551.00,
2024-11-21,98504.73000000,,106024505582.00,
2024-11-20,94339.49000000,,71730956426.00,
2024-11-19,92343.79000000,,74521048295.00,
